Title,Location,Price,Area,Room
House Pietersbergweg 37 A,1105 BM Amsterdam (Amstel III/Bullewijk),"€1,843 per month",92 m²,92 m²
House Dokter Van Zeelandstraat 33,2265 BT Leidschendam (Klein Plaspoelpolder),"€2,850 per month",200 m²,200 m²
Apartment Op den Akker 13,5925 CD Venlo (Klingerberg-Zuid),€895 per month,75 m²,75 m²
Apartment Louis Davidsstraat 477,2551 EM Den Haag (Waldeck-Zuid),"€1,225 per month",89 m²,89 m²
Apartment Wilhelminalaan,6114 BH Susteren (Mariaveld),€645 per month,50 m²,50 m²
Apartment Veerstraat 9 HS,1075 SL Amsterdam (Schinkelbuurt),"€2,500 per month",96 m²,96 m²
Apartment Lloydstraat 106,3024 EA Rotterdam (Schiemond),"€1,650 per month",110 m²,110 m²
Apartment Boulevard,2225 AB Katwijk (De Noord),"€1,300 per month",79 m²,79 m²
House Kanaalstraat,9882 PB Kommerzijl (Kommerzijl),€595 per month,68 m²,68 m²
House Jane Addamslaan 92,1187 DA Amstelveen (Kastelenbuurt),"€1,525 per month",130 m²,130 m²
House Bleijerheiderstraat,6462 AC Kerkrade (Nulland),€800 per month,180 m²,180 m²
Apartment Van Woustraat 95 1,1074 AE Amsterdam (Nieuwe Pijp),"€2,250 per month",94 m²,94 m²
Apartment Kromstraat,2611 ER Delft (Centrum),€765 per month,31 m²,31 m²
Apartment Vlaggemanstraat,3038 LE Rotterdam (Bergpolder),"€1,195 per month",65 m²,65 m²
Apartment Pieter de Hoochstraat 16 IV,1071 EE Amsterdam (Museumkwartier),"€2,150 per month",82 m²,82 m²
Apartment van der Waalsstraat 18,3132 TM Vlaardingen (Lage Weide),"€1,250 per month",67 m²,67 m²
Apartment Weteringschans,1017 XR Amsterdam (De Weteringschans),"€6,500 per month",162 m²,162 m²
House Kniplaan,2251 AK Voorschoten (Buitengebied),"€4,950 per month",315 m²,315 m²
Apartment Prins Bernhardlaan 93,1111 ES Diemen (Centrum Oost),"€3,000 per month",137 m²,137 m²
House Eindstraat,5502 TC Veldhoven (Zeelst),"€1,795 per month",130 m²,130 m²
Apartment Schouwbroekseweg,5616 NW Eindhoven (Philipsdorp),"€1,800 per month",140 m²,140 m²
House Prof. Asserlaan,2105 TK Heemstede (Geleerdenbuurt),"€3,250 per month",180 m²,180 m²
Apartment Van Beuningenstraat,1051 XZ Amsterdam (Staatsliedenbuurt),"€1,850 per month",85 m²,85 m²
Apartment Kromme Elleboogsteeg 8,2011 TS Haarlem (Binnenstad),"€1,250 per month",70 m²,70 m²
Apartment Hagelingerweg 7 B,2071 CA Santpoort-Noord (Bloemenbuurt),"€1,100 per month",60 m²,60 m²
Apartment Touwslagersdreef,6216 PZ Maastricht (Belfort),€995 per month,76 m²,76 m²
Apartment Wolkammersdreef,6216 RP Maastricht (Belfort),€995 per month,80 m²,80 m²
House Keizersgracht,1017 DT Amsterdam (Grachtengordel-Zuid),"€5,750 per month",225 m²,225 m²
House Moeder Teresastraat,1447 XC Purmerend (Purmer-Zuid/Zuid),"€1,250 per month",120 m²,120 m²
Apartment Rembrandtkade,2282 XD Rijswijk (Rembrandtkwartier),"€1,450 per month",110 m²,110 m²
Apartment Oosterstraat 41 b,9711 NR Groningen (Binnenstad-Zuid),"€1,050 per month",80 m²,80 m²
Apartment Javastraat,3531 PP Utrecht (Lombok-Oost),"€1,099 per month",60 m²,60 m²
Apartment Anthony Fokkerlaan 48 2,2024 JG Haarlem (Sinnevelt),"€1,285 per month",71 m²,71 m²
Apartment Thomsonstraat,1171 ZA Badhoevedorp (Badhoevedorp Noordwest),"€1,350 per month",58 m²,58 m²
House Laan van Dada,3059 PR Rotterdam (Nesselande),"€2,250 per month",127 m²,127 m²
House Heuvellaan,1406 KT Bussum (Koedijk),"€3,000 per month",130 m²,130 m²
Apartment Driekoningendwarsstraat,6828 EE Arnhem (Spijkerbuurt),"€1,099 per month",87 m²,87 m²
Apartment Kortgenestraat,3086 JG Rotterdam (Pendrecht),€995 per month,65 m²,65 m²
Apartment Simon Carmiggelthof,2492 JN Den Haag (De Velden),"€1,450 per month",114 m²,114 m²
House Hendrick Berckmanstraat 13,4383 SJ Vlissingen (Hercules Segherslaan e.o.),"€1,050 per month",90 m²,90 m²
House Bittervoornstraat,7559 BN Hengelo (Roershoek),"€1,045 per month",101 m²,101 m²
Apartment Berkelselaan 110 B,3038 NA Rotterdam (Bergpolder),"€1,375 per month",61 m²,61 m²
Apartment Eastonstraat 198,1068 JG Amsterdam (Osdorp-Oost),"€2,800 per month",88 m²,88 m²
Apartment Narcisplantsoen 135,2015 AN Haarlem (Bloemenbuurt),"€1,285 per month",43 m²,43 m²
Studio Nertspad 2,1338 BH Almere (Faunabuurt),€800 per month,35 m²,35 m²
House Inkoperhof 6,2231 HC Rijnsburg (Frederiksoord-Noord),"€1,945 per month",163 m²,163 m²
Apartment Rijstkamp 20,2592 EX Den Haag (Kampen),"€1,270 per month",93 m²,93 m²
Apartment Laarderweg,1402 BK Bussum (Laarderwegkwartier),"€1,195 per month",103 m²,103 m²
House Reinstraat,6445 BT Brunssum (Langenberg),"€1,300 per month",105 m²,105 m²
Apartment Kesselskade,6211 EN Maastricht (Binnenstad),"€2,950 per month",155 m²,155 m²
Apartment Oosterdokskade,1011 DL Amsterdam (Nieuwmarkt/Lastage),"€2,250 per month",63 m²,63 m²
House Netelstraat 5,6413 SN Heerlen (Heerlerheide Kom),"€1,600 per month",152 m²,152 m²
Apartment Schouwbroekseweg,5616 NW Eindhoven (Philipsdorp),"€1,800 per month",140 m²,140 m²
Apartment Schiekade,3032 AX Rotterdam (Agniesebuurt),"€2,300 per month",125 m²,125 m²
Apartment Palingrokerssteeg 8,3752 BN Bunschoten-Spakenburg (Spakenburg),€995 per month,65 m²,65 m²
Apartment Kempenlandstraat,5211 VN Den Bosch (Het Zand),€935 per month,55 m²,55 m²
Apartment Voorstraat,1949 BJ Wijk aan Zee (Wijk aan Zee),€975 per month,46 m²,46 m²
Apartment Stuyvesantstraat 52,2593 GN Den Haag (Bezuidenhout-Oost),"€1,250 per month",60 m²,60 m²
Apartment Westplein,3016 BM Rotterdam (Nieuwe Werk),"€1,675 per month",80 m²,80 m²
Apartment Tsjaikovskistraat,2901 HN Capelle aan den IJssel (Chopinbuurt),"€1,150 per month",80 m²,80 m²
House Roer 316,2908 MC Capelle aan den IJssel (Hoofdweg sector A),€815 per month,49 m²,49 m²
House Surinameweg 11 A04,2035 VA Haarlem (Romolenpolder-oost),"€1,050 per month",71 m²,71 m²
House Wormerhoek 12 Q,2905 TX Capelle aan den IJssel (Wormerhoek),€880 per month,42 m²,42 m²
Apartment Achter Clarenburg,"3511 JH Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,500 per month",75 m²,75 m²
Apartment Rotterdamsedijk 63,3112 AB Schiedam (Rotterdamsedijk),€725 per month,63 m²,63 m²
Apartment Boterbloemstraat 9,1032 LV Amsterdam (Noordelijke IJ-oevers West),"€1,850 per month",100 m²,100 m²
Apartment Werner Helmichstraat 2,3553 JX Utrecht (Julianapark en omgeving),"€1,350 per month",55 m²,55 m²
Apartment Corneliusflat,4703 BV Roosendaal (Heerma van Vossstraat-Molenbeek),€885 per month,82 m²,82 m²
Room Klarendalseweg,6822 GH Arnhem (Klarendal-Noord),€434 per month,28 m²,28 m²
Apartment Stadionkade 121 hs,1076 BP Amsterdam (Stadionbuurt),"€1,800 per month",65 m²,65 m²
Apartment Boothstraat,3512 BW Utrecht (Breedstraat en Plompetorengracht en omgeving),"€1,600 per month",56 m²,56 m²
House Koekoek 12,1422 ZD Uithoorn (Legmeer),"€2,650 per month",163 m²,163 m²
Apartment Binckhorstlaan,2516 BA Den Haag (Binckhorst),"€1,000 per month",21 m²,21 m²
Apartment Rietgors,3435 CB Nieuwegein (Doorslag),€845 per month,40 m²,40 m²
Apartment Amnestylaan,4336 LL Middelburg (Erasmuswijk),€665 per month,74 m²,74 m²
Apartment Eva Besnyöstraat 447,1087 LG Amsterdam (IJburg Zuid),"€1,650 per month",93 m²,93 m²
Apartment Nicolaas Maesstraat 113 3,1071 PV Amsterdam (Museumkwartier),"€4,500 per month",180 m²,180 m²
Apartment Bosboom-Toussaintplein 47,2624 DE Delft (Voorhof-Hoogbouw),"€1,350 per month",66 m²,66 m²
House Narva-eiland,1014 ZJ Amsterdam (Houthavens),"€3,250 per month",131 m²,131 m²
Apartment Haarlemmerweg,1014 BL Amsterdam (Sloterdijk),"€1,900 per month",70 m²,70 m²
Apartment Sionsweg 60 C,6222 EK Maastricht (Limmel),€720 per month,38 m²,38 m²
House Birkhoven 53,1187 JW Amstelveen (Landschappenbuurt),"€1,900 per month",109 m²,109 m²
House Nieuwe Prinsengracht 18,1018 XJ Amsterdam (Weesperbuurt/Plantage),"€1,750 per month",41 m²,41 m²
House Eindstraat,5502 TC Veldhoven (Zeelst),"€1,795 per month",130 m²,130 m²
Apartment Schouwbroekseweg,5616 NW Eindhoven (Philipsdorp),"€1,800 per month",140 m²,140 m²
Apartment Pluvierstraat 485,2583 GZ Den Haag (Duindorp),"€1,050 per month",80 m²,80 m²
Room Minister van Sonstraat,5041 CP Tilburg (Theresia Midden),€235 per month,16 m²,16 m²
Apartment Pieterstraat 5 C,"3512 JT Utrecht (Domplein, Neude, Janskerkhof)","€1,190 per month",35 m²,35 m²
House Smeekweg,1251 VH Laren (Zevenend),"€1,950 per month",101 m²,101 m²
Apartment Brussestraat,3031 SL Rotterdam (Rubroek),"€1,195 per month",64 m²,64 m²
Apartment Mathenesserweg,3026 HN Rotterdam (Spangen),€725 per month,42 m²,42 m²
Apartment Nieuwe Achtergracht 67 4,1018 WL Amsterdam (Weesperbuurt/Plantage),"€1,750 per month",60 m²,60 m²
Apartment Millinxstraat,3081 PM Rotterdam (Tarwewijk),€995 per month,50 m²,50 m²
Apartment Willem de Zwijgerstraat 30 A,"5616 AE Eindhoven (Eliasterrein, Vonderkwartier)","€1,400 per month",44 m²,44 m²
Apartment Emmy Andriessestraat,1087 LS Amsterdam (IJburg Zuid),"€1,750 per month",106 m²,106 m²
Apartment Vincent van Goghstraat,5671 GW Nuenen (Nuenen-Noord),"€1,475 per month",112 m²,112 m²
Apartment Soestdijkseweg Zuid 224,3721 AJ Bilthoven (Tuindorp),"€1,050 per month",100 m²,100 m²
Apartment Nieuwe Noord 38 U,1621 EN Hoorn (Binnenstad - Buurt 10 02),"€1,275 per month",58 m²,58 m²
Apartment Dahliastraat,3073 BC Rotterdam (Bloemhof),"€1,100 per month",55 m²,55 m²
Apartment Dahliastraat,3073 BC Rotterdam (Bloemhof),"€1,100 per month",60 m²,60 m²
Apartment Galerij,1181 ZR Amstelveen (Stadshart),"€1,800 per month",105 m²,105 m²
Apartment Molukkenstraat,"3531 WD Utrecht (Laan van Nieuw-Guinea, Spinozaweg e.o.)","€1,900 per month",94 m²,94 m²
Apartment Spiegelstraat,2011 BN Haarlem (Burgwal),"€1,950 per month",50 m²,50 m²
Apartment Molenbeekstraat,6824 AV Arnhem (Molenbeke),"€1,250 per month",73 m²,73 m²
Apartment Stadsplein,2903 HH Capelle aan den IJssel (Koperwiek),"€1,250 per month",70 m²,70 m²
Apartment Liebergerweg 54,1221 JT Hilversum (Kleine Driftbuurt),€805 per month,51 m²,51 m²
Apartment Louis Armstrongweg,1311 RL Almere (Muziekwijk Noord),"€1,425 per month",86 m²,86 m²
House Veldhoeve,3438 LL Nieuwegein (Blokhoeve),"€1,595 per month",115 m²,115 m²
Apartment Mijnsherenlaan,3081 GH Rotterdam (Tarwewijk),€895 per month,61 m²,61 m²
Apartment Bergweg,3037 EJ Rotterdam (Liskwartier),"€1,495 per month",105 m²,105 m²
Apartment Willem Beukelszoonplein 15,2584 XJ Den Haag (Visserijbuurt),"€1,250 per month",55 m²,55 m²
Apartment Zwanebloemlaan,6832 HC Arnhem (Immerloo I),€885 per month,55 m²,55 m²
Apartment Eusebiusbinnensingel,6811 BX Arnhem (Markt),"€1,195 per month",109 m²,109 m²
Apartment Oude Vest,2312 XP Leiden (De Camp),"€1,125 per month",55 m²,55 m²
Apartment Stellalunet,6221 JG Maastricht (Wyck),"€1,350 per month",110 m²,110 m²
House Eindstraat,5502 TC Veldhoven (Zeelst),"€1,795 per month",130 m²,130 m²
House Netelstraat 5,6413 SN Heerlen (Heerlerheide Kom),"€1,600 per month",152 m²,152 m²
Apartment Schimmelstraat 32 1,1053 TH Amsterdam (Kinkerbuurt),"€1,450 per month",41 m²,41 m²
Apartment 's-Gravelandse Veer 10 II,1011 KN Amsterdam (Nieuwmarkt/Lastage),"€1,950 per month",75 m²,75 m²
House Tijmweerd 4,6229 TL Maastricht (Heugem),"€1,345 per month",140 m²,140 m²
Apartment Van Ruusbroecstraat,5216 JA Den Bosch (Bazeldonk),"€1,295 per month",86 m²,86 m²
Apartment Neptunussingel,1363 VV Almere (Homeruskwartier),"€1,250 per month",68 m²,68 m²
House Het Oude Nieuwland 132,3253 MS Ouddorp (Ouddorp oude nieuwlandseweg),"€1,200 per month",57 m²,57 m²
Apartment Eerste Straatje van Best,5211 XH Den Bosch (Binnenstad-Centrum),"€1,160 per month",69 m²,69 m²
Apartment Hardebollenstraat,3512 TP Utrecht (Breedstraat en Plompetorengracht en omgeving),"€1,000 per month",40 m²,40 m²
House Van den Broekstraat,3544 MV Utrecht (Het Zand-West),"€1,650 per month",125 m²,125 m²
Apartment Jonker Fransstraat,3031 AN Rotterdam (Rubroek),€950 per month,45 m²,45 m²
Apartment Oudeschans 18 II,1011 LA Amsterdam (Nieuwmarkt/Lastage),"€1,750 per month",40 m²,40 m²
Apartment Oudeschans 18 I,1011 LA Amsterdam (Nieuwmarkt/Lastage),"€1,750 per month",56 m²,56 m²
House Waterfront,5658 SM Eindhoven (Waterrijk),"€1,995 per month",116 m²,116 m²
House Kruidenierspeerstraat,1461 JE Zuidoostbeemster (Zuidoostbeemster Tuinhoek),"€1,750 per month",117 m²,117 m²
Apartment Kooikersweg,5223 KE Den Bosch (De Schutskamp),€815 per month,45 m²,45 m²
Room Bethaniestraat,5211 LG Den Bosch (Binnenstad-Oost),€445 per month,18 m²,18 m²
Apartment P.C. Boutenslaan 73,2283 GT Rijswijk (Stationskwartier),"€1,845 per month",104 m²,104 m²
Apartment Ruische Poort,5211 XM Den Bosch (Binnenstad-Centrum),"€1,205 per month",82 m²,82 m²
House Allard Piersonlaan,2522 ME Den Haag (Laakkwartier-Oost),"€1,995 per month",140 m²,140 m²
Studio Boschstraat,6211 AW Maastricht (Boschstraatkwartier),€795 per month,32 m²,32 m²
Apartment Ruische Poort,5211 XM Den Bosch (Binnenstad-Centrum),"€1,135 per month",69 m²,69 m²
Apartment Kipstraat 43 B,3011 ZX Rotterdam (Stadsdriehoek),"€1,075 per month",69 m²,69 m²
Apartment Wilgenstraat,4388 LK Oost-Souburg (Molenweg e.o.),€995 per month,81 m²,81 m²
House Alexiastraat,4711 SJ St. Willebrord (Sint Willebrord),"€1,150 per month",122 m²,122 m²
House Peymeestersdreef,6216 PJ Maastricht (Belfort),"€1,500 per month",107 m²,107 m²
Apartment Looiersgracht 86,1016 VT Amsterdam (Jordaan),"€2,450 per month",96 m²,96 m²
Apartment De Clinge 11,1401 EV Bussum (Verbindingslaan),"€1,100 per month",66 m²,66 m²
House Klingmakersdonk,7326 GZ Apeldoorn (Matendonk),"€1,350 per month",129 m²,129 m²
Studio Hardebollenstraat,3512 TP Utrecht (Breedstraat en Plompetorengracht en omgeving),€900 per month,30 m²,30 m²
Apartment Oranjeboomstraat,4812 EA Breda (Haagpoort),€699 per month,22 m²,22 m²
House Weversbaan 28 A,2352 BZ Leiderdorp (De Baanderij),"€1,850 per month",140 m²,140 m²
House Netelstraat 5,6413 SN Heerlen (Heerlerheide Kom),"€1,600 per month",152 m²,152 m²
Apartment Adriaan van Bergenstraat,4811 SW Breda (Schorsmolen),"€1,099 per month",45 m²,45 m²
Apartment Baaksebeek 24,8033 CC Zwolle (Aa-landen-Oost),"€1,190 per month",119 m²,119 m²
Apartment Abtstraat,6211 LS Maastricht (Kommelkwartier),"€1,565 per month",96 m²,96 m²
Apartment Hartenlustlaan,2061 HA Bloemendaal (Bloemendaal),"€1,495 per month",123 m²,123 m²
Apartment Hellingstraat 64,1033 WW Amsterdam (Noordelijke IJ-oevers West),"€1,800 per month",57 m²,57 m²
Apartment Oostenburgervoorstraat 5 A,1018 MN Amsterdam (Oostelijke Eilanden/Kadijken),"€2,000 per month",55 m²,55 m²
Apartment Waldenlaan 326,1093 NH Amsterdam (Dapperbuurt),"€2,500 per month",75 m²,75 m²
Apartment Eerste Amstelvlietpad 52,1096 GB Amsterdam (Omval/Overamstel),"€1,800 per month",60 m²,60 m²
Apartment Bloemhofstraat 22 F,2012 ZX Haarlem (Rozenprieel-zuid),"€1,250 per month",65 m²,65 m²
Apartment Broekhovenseweg,5021 LE Tilburg (Broekhoven I),€906 per month,50 m²,50 m²
Apartment Heutinkstraat,7535 AX Enschede (Hogeland-Noord),€950 per month,70 m²,70 m²
Studio Arendplein,5022 AE Tilburg (Vogeltjesbuurt Oost),€700 per month,29 m²,29 m²
Apartment Soesterbergstraat,2546 XX Den Haag (Leyenburg),€723 per month,26 m²,26 m²
House Hoekwal,5509 KJ Veldhoven (De Polders),"€1,395 per month",103 m²,103 m²
Apartment Aalsterweg,5615 CB Eindhoven (Bloemenplein),"€1,150 per month",45 m²,45 m²
Apartment Hermelijnvlinder 83,1113 LC Diemen (Vlindertuin),"€1,313 per month",95 m²,95 m²
Apartment Voorstraat,8011 MK Zwolle (Binnenstad-Zuid),€875 per month,48 m²,48 m²
House Hugo de Grootstraat,2518 EC Den Haag (Zeeheldenkwartier),"€1,245 per month",56 m²,56 m²
Apartment Stellalunet,6221 JG Maastricht (Wyck),"€2,000 per month",113 m²,113 m²
Apartment Karposthegge,6225 KJ Maastricht (Amby),€850 per month,70 m²,70 m²
Apartment Varenkamp,7815 CB Emmen (Emmermeer),€750 per month,80 m²,80 m²
House Op Koers,1316 VP Almere (Noorderplassen),"€2,150 per month",184 m²,184 m²
House Teckop 11,3471 HG Kamerik (Buitengebied Kamerik),"€4,000 per month",300 m²,300 m²
Room Agniesestraat,3032 TH Rotterdam (Agniesebuurt),€675 per month,20 m²,20 m²
House Haverhof,5025 LN Tilburg (Sint Anna Zuid),"€1,150 per month",77 m²,77 m²
Apartment Ridderstraat,5211 JZ Den Bosch (Binnenstad-Centrum),€995 per month,50 m²,50 m²
Apartment Orthenstraat,5211 SX Den Bosch (Binnenstad-Centrum),"€1,030 per month",56 m²,56 m²
Apartment Antillenstraat 42 H,1058 HC Amsterdam (Westindische Buurt),"€1,200 per month",50 m²,50 m²
Apartment Boompjes,3011 XB Rotterdam (Stadsdriehoek),"€1,995 per month",72 m²,72 m²
Apartment Ginnekenstraat,4811 JH Breda (Chassé),"€1,175 per month",70 m²,70 m²
Apartment Schouwbroekseweg,5616 NW Eindhoven (Philipsdorp),"€1,800 per month",140 m²,140 m²
House Weversbaan 28 A,2352 BZ Leiderdorp (De Baanderij),"€1,850 per month",140 m²,140 m²
House Dr. Kostersstraat,7545 TD Enschede (Pathmos),"€1,075 per month",120 m²,120 m²
Apartment Okeghemstraat,1075 PP Amsterdam (Willemspark),"€1,750 per month",80 m²,80 m²
Apartment Cornelis de Houtmanstraat,1782 VB Den Helder (Oud Den Helder),€750 per month,66 m²,66 m²
Apartment Haarlemplein,1324 RT Almere (Stedenwijk),"€1,375 per month",97 m²,97 m²
Apartment Stadhouderskade,1073 AW Amsterdam (Oude Pijp),"€1,450 per month",70 m²,70 m²
House Bommegaerde 68,9244 AK Beetsterzwaag (Beetsterzwaag-Singels),"€1,095 per month",114 m²,114 m²
Apartment Voorstraat 285,3311 EP Dordrecht (Centrum),€995 per month,80 m²,80 m²
Apartment Frederikstraat 989,2514 LJ Den Haag (Willemspark),"€1,350 per month",54 m²,54 m²
Apartment Sweersstraat,6524 BL Nijmegen (Altrade),"€1,275 per month",71 m²,71 m²
House Kokardebloem 26,3353 EZ Papendrecht (Kraaihoek),"€1,400 per month",107 m²,107 m²
Apartment Beiaardstraat 10,5554 PV Valkenswaard (Centrum),€950 per month,75 m²,75 m²
Apartment Oostzeedijk 298 H,3063 CB Rotterdam (Struisenburg),"€1,650 per month",117 m²,117 m²
Apartment Kortenaerstraat 30,7513 AG Enschede (Horstlanden-Stadsweide),€950 per month,40 m²,40 m²
Apartment Stationsplein 48,2312 AK Leiden (Stationskwartier),"€1,050 per month",78 m²,78 m²
Apartment Kanaaldijk-Zuid,5611 VA Eindhoven (Irisbuurt),"€1,550 per month",85 m²,85 m²
House Vijverhoef,1081 AX Amsterdam (Buitenveldert-West),"€2,750 per month",130 m²,130 m²
House Sixlaan,2182 AA Hillegom (Weerestein),"€2,950 per month",340 m²,340 m²
Apartment Bosboomstraat,"3582 KH Utrecht (Abstede, Tolsteegsingel e.o.)","€1,475 per month",75 m²,75 m²
Apartment Bosboomstraat,"3582 KH Utrecht (Abstede, Tolsteegsingel e.o.)","€1,350 per month",55 m²,55 m²
Apartment Henriette Roland Holstln 49,2283 HB Rijswijk (Stationskwartier),"€1,075 per month",80 m²,80 m²
House Lampenistenstraat 127,1019 TK Amsterdam (Oostelijk Havengebied),"€1,750 per month",118 m²,118 m²
House Gildenburg,7423 ZD Deventer (Het Oostrik),"€1,250 per month",110 m²,110 m²
Room Van Ostadestraat,2023 XA Haarlem (Kleverpark-zuid),€750 per month,18 m²,18 m²
Apartment Nieuwe Herengracht,1011 RT Amsterdam (Nieuwmarkt/Lastage),"€2,250 per month",90 m²,90 m²
Apartment Sarphatipark 20 I,1072 PA Amsterdam (Oude Pijp),"€1,750 per month",80 m²,80 m²
House Chirurgijn 17,1188 DK Amstelveen (Beroepenbuurt),"€1,695 per month",120 m²,120 m²
Apartment Isaak Gosseshof,1065 XH Amsterdam (Slotervaart Noord),"€1,450 per month",60 m²,60 m²
Apartment Hoefkade,2525 HR Den Haag (Groente- en Fruitmarkt),€925 per month,70 m²,70 m²
Apartment Bosboom Toussaintstraat,1054 AM Amsterdam (Helmersbuurt),"€1,200 per month",24 m²,24 m²
House Soestdijksekade 232,2574 AV Den Haag (Rustenburg),"€1,050 per month",63 m²,63 m²
House Weversbaan 28 A,2352 BZ Leiderdorp (De Baanderij),"€1,850 per month",140 m²,140 m²
House Netelstraat 5,6413 SN Heerlen (Heerlerheide Kom),"€1,600 per month",152 m²,152 m²
Apartment Dokter van Deenweg,8025 BD Zwolle (Kantorenterrein Oosterenk),"€1,200 per month",30 m²,30 m²
Apartment Plotinusstraat 37,3076 NN Rotterdam (Lombardijen),"€1,200 per month",83 m²,83 m²
Apartment Driekoningenstraat,1016 AL Amsterdam (Grachtengordel-West),"€1,785 per month",70 m²,70 m²
Apartment Nijenburg,1081 GG Amsterdam (Buitenveldert-West),"€1,850 per month",86 m²,86 m²
Apartment Van der Hulststraat,2032 NG Haarlem (Oude Amsterdamsebuurt),"€1,300 per month",60 m²,60 m²
Apartment Engelenburg,2036 RJ Haarlem (De Burgen),"€1,200 per month",70 m²,70 m²
Room Sonsbeeksingel,6821 AA Arnhem (St. Marten),€315 per month,15 m²,15 m²
Apartment Stationsstraat,5281 GA Boxtel (Boxtel-Centrum),"€1,200 per month",90 m²,90 m²
House Willibrordusstraat 49 a,5561 AX Riethoven (Willibrordusstraat e.o.),"€1,750 per month",165 m²,165 m²
Apartment Rokin 18 B,1012 KR Amsterdam (Burgwallen-Nieuwe Zijde),"€1,850 per month",55 m²,55 m²
Apartment Damrak 11 2,1012 LG Amsterdam (Burgwallen-Nieuwe Zijde),"€1,850 per month",74 m²,74 m²
Apartment Soestdijkseweg Zuid,3732 HE De Bilt (De Bilt Oost),€995 per month,51 m²,51 m²
Apartment Johannes Verhulststraat 79 II,1071 MV Amsterdam (Museumkwartier),"€1,850 per month",80 m²,80 m²
Apartment De Genestetlaan,2522 LP Den Haag (Laakkwartier-Oost),€925 per month,73 m²,73 m²
Apartment Woestduinstraat,1058 SZ Amsterdam (Hoofddorppleinbuurt),"€1,900 per month",62 m²,62 m²
Apartment Frederiksstraat,1054 LB Amsterdam (Overtoomse Sluis),"€1,695 per month",75 m²,75 m²
House Zuideinde,1035 PC Amsterdam (Oostzanerwerf),"€1,400 per month",80 m²,80 m²
Apartment Vierwindenstraat,1013 CW Amsterdam (Haarlemmerbuurt),"€1,625 per month",60 m²,60 m²
Apartment Amsterdamsestraatweg,3513 AM Utrecht (Pijlsweerd-Zuid),€920 per month,57 m²,57 m²
Room P.C. Borstraat 2,3515 XZ Utrecht (Tuinwijk-West),"€1,050 per month",68 m²,68 m²
Apartment Flevolaan,1382 JZ Weesp (Bedrijventerrein Noord),"€1,650 per month",99 m²,99 m²
Apartment Gigantenstraat,1363 TB Almere (Homeruskwartier),"€1,450 per month",70 m²,70 m²
Apartment Barbizonplaats 38,2908 MG Capelle aan den IJssel (Hoofdweg sector A),€950 per month,65 m²,65 m²
House Van der Weeghensingel,5212 PJ Den Bosch (De Muntel),"€1,300 per month",120 m²,120 m²
Apartment Heemraadssingel,3021 ND Rotterdam (Middelland),"€1,195 per month",59 m²,59 m²
Apartment Badhuisweg,2587 CA Den Haag (Rijslag),€850 per month,34 m²,34 m²
Apartment Badhuisweg,2587 CA Den Haag (Rijslag),€995 per month,44 m²,44 m²
Apartment Nieuwe Binnenweg,3015 BC Rotterdam (Oude Westen),"€1,395 per month",76 m²,76 m²
House Burgemeester van Stamplein,2132 BH Hoofddorp (Hoofddorp Zuid),"€3,250 per month",234 m²,234 m²
Apartment Meander 399,1181 WN Amstelveen (Stadshart),"€1,750 per month",115 m²,115 m²
House Eindstraat,5502 TC Veldhoven (Zeelst),"€1,795 per month",130 m²,130 m²
Apartment Schouwbroekseweg,5616 NW Eindhoven (Philipsdorp),"€1,800 per month",140 m²,140 m²
Apartment Traaij,3971 GE Driebergen-Rijsenburg (Kom Driebergen en Seminarie),"€1,400 per month",98 m²,98 m²
Apartment Diepenbrockstraat,5654 GB Eindhoven (Bennekel-Oost),"€1,050 per month",35 m²,35 m²
Apartment Kooikersweg,5223 KE Den Bosch (De Schutskamp),€999 per month,57 m²,57 m²
Apartment Geldersedam,5212 RC Den Bosch (De Muntel),€885 per month,36 m²,36 m²
House Duinroosweg,1759 HJ Callantsoog (Callantsoog (woonkern)),"€1,195 per month",110 m²,110 m²
Apartment Haagweg,2321 AH Leiden (Haagweg-Noord),"€1,350 per month",80 m²,80 m²
House Maasdijk 2 c,6624 KN Heerewaarden (Heerewaarden),"€1,000 per month",102 m²,102 m²
Apartment Ulvenhoutselaan 17 B1,4835 MA Breda (Ginneken),"€2,150 per month",155 m²,155 m²
Apartment Azaleastraat 8,1032 BW Amsterdam (Volewijck),"€1,450 per month",76 m²,76 m²
House Treurenburgstraat,6021 BE Budel (Budel),€187 per month,135 m²,135 m²
Apartment Denneweg 60,2514 CH Den Haag (Voorhout),"€2,500 per month",130 m²,130 m²
House Duinwindelaan 5,2116 TM Bentveld (Bentveld Zuid),"€3,185 per month",148 m²,148 m²
Apartment Atjehstraat 18,2585 VK Den Haag (Archipelbuurt),"€2,250 per month",115 m²,115 m²
Apartment Stationsweg,2515 BN Den Haag (Huygenspark),€750 per month,56 m²,56 m²
Apartment Badhuisweg,2587 CA Den Haag (Rijslag),€995 per month,44 m²,44 m²
Apartment Barestraat,9725 CM Groningen (Rivierenbuurt),€600 per month,20 m²,20 m²
House Teylersplein 2 A8,2441 LE Nieuwveen (Schoterveld),"€1,150 per month",53 m²,53 m²
House Botshol 16,1391 HP Abcoude (Abcoude Buitengebied),"€3,950 per month",433 m²,433 m²
House Acaciastraat,4814 HJ Breda (Tuinzigt),"€1,575 per month",110 m²,110 m²
